index,status,title,doi,matched_title,match_score,file
1,downloaded,ISSCC 2025 14.3 — A 28nm 17.83-to-62.84TFLOPS/W Broadcast-Alignment Floating-Point CIM Macro with Non-Two's-Complement MAC for CNNs and Transformers,10.1109/isscc49661.2025.10904738,14.3 A 28nm 17.83-to-62.84TFLOPS/W Broadcast-Alignment Floating-Point CIM Macro with Non-Two's-Complement MAC for CNNs and Transformers,0.981,01_ISSCC 2025 14.3 — A 28nm 17.83-to-62.84TFLOPS_W Broadcast-Alignment Floating-Point CIM Macro with Non-Two's-Complement MAC for CNNs and Transformers.pdf
2,downloaded,ISSCC 2025 14.4 — A 51.6TFLOPs/W Full-Datapath CIM Macro Approaching Sparsity Bound and <2^-30 Loss for Compound AI,10.1109/isscc49661.2025.10904702,14.4 A 51.6TFLOPs/W Full-Datapath CIM Macro Approaching Sparsity Bound and &lt;2<sup>-30</sup> Loss for Compound AI,0.922,02_ISSCC 2025 14.4 — A 51.6TFLOPs_W Full-Datapath CIM Macro Approaching Sparsity Bound and _2^-30 Loss for Compound AI.pdf
3,downloaded,ISSCC 2025 14.5 — A 28nm 192.3TFLOPS/W Accurate/Approximate Dual-Mode-Transpose Digital 6T-SRAM CIM Macro for Floating-Point Edge Training and Inference,10.1109/isscc49661.2025.10904659,14.5 A 28nm 192.3TFLOPS/W Accurate/Approximate Dual-Mode-Transpose Digital 6T-SRAM CIM Macro for Floating-Point Edge Training and Inference,0.982,03_ISSCC 2025 14.5 — A 28nm 192.3TFLOPS_W Accurate_Approximate Dual-Mode-Transpose Digital 6T-SRAM CIM Macro for Floating-Point Edge Training and Inferen.pdf
4,downloaded,"ISSCC 2025 14.7 — NeuroPilot: A 28nm, 69.4fJ/node and 0.22ns/node, 32×32 Mimetic-Path-Searching CIM-Macro with Dynamic-Logic Pilot PE and Dual-Direction Searching",10.1109/isscc49661.2025.10904805,"14.7 NeuroPilot: A 28nm, 69.4fJ/node and 0.22ns/node, 32×32 Mimetic-Path-Searching CIM-Macro with Dynamic-Logic Pilot PE and Dual-Direction Searching",0.983,"04_ISSCC 2025 14.7 — NeuroPilot_ A 28nm, 69.4fJ_node and 0.22ns_node, 32×32 Mimetic-Path-Searching CIM-Macro with Dynamic-Logic Pilot PE and Dual-Directi.pdf"
5,downloaded,ISSCC 2026 18.4 — SpikeRAM Compute-Near/In-Memory,10.1109/isscc49663.2026.11409002,ISSCC 2024 Session 34 Overview: Compute-In-Memory,0.557,05_ISSCC 2026 18.4 — SpikeRAM Compute-Near_In-Memory.pdf
6,downloaded,ISSCC 2026 30.1 — A 28nm 127.54TFLOPS/W MXFP6 and 117.42TFLOPS/W MXFP8 Compute-in-Memory Macro with Adaptive-Preserved-Bit-Width and Serial-Dual-Bit-Sliding Schemes,10.1109/isscc49663.2026.11409034,30.1 A 28nm 127.54TFLOPS/W MXFP6 and 117.42TFLOPS/W MXFP8 Compute-in-Memory Macro with Adaptive-Preserved-Bit-Width and Serial-Dual-Bit-Sliding Schemes,0.983,06_ISSCC 2026 30.1 — A 28nm 127.54TFLOPS_W MXFP6 and 117.42TFLOPS_W MXFP8 Compute-in-Memory Macro with Adaptive-Preserved-Bit-Width and Serial-Dual-Bit-S.pdf
7,downloaded,ISSCC 2026 30.4 — A 28nm 106.85TOPS/W and 77.68TFLOPS/W CIM Macro with Stage-Wise-Enabled Lossless Compressors Based on Sign-Bit-Embedded Transition-Counting-Lines for Edge-AI Devices,10.1109/isscc49663.2026.11409281,30.4 A 28nm 106.85TOPS/W and 77.68TFLOPS/W CIM Macro with Stage-Wise-Enabled Lossless Compressors Based on Sign-Bit-Embedded Transition-Counting-Lines for Edge-AI Devices,0.985,07_ISSCC 2026 30.4 — A 28nm 106.85TOPS_W and 77.68TFLOPS_W CIM Macro with Stage-Wise-Enabled Lossless Compressors Based on Sign-Bit-Embedded Transition-C.pdf
8,downloaded,ISSCC 2026 30.7 — A 1.2GHz 12.77GB/s/mm² 3D Two-DRAM-One-Logic Process-Near-Memory Chip for Edge LLM Applications,10.1109/isscc49663.2026.11409184,"A 1.2GHz 12.77GB/s/mm
                    <sup>2</sup>
                    3D Two-DRAM-One-Logic Process-Near-Memory Chip for Edge LLM Applications",0.949,08_ISSCC 2026 30.7 — A 1.2GHz 12.77GB_s_mm² 3D Two-DRAM-One-Logic Process-Near-Memory Chip for Edge LLM Applications.pdf
9,downloaded,"ISSCC 2026 30.8 — A 16nm, 1Mb, 1-to-8b-Configurable 444.21TOPS/W Fully-Digital SRAM Compute-In-Memory Macro for Hybrid SNN-CNN Edge Computing",10.1109/isscc49663.2026.11409250,"A 16nm, 1Mb, 1-to-8b-Configurable 444.21TOPS/W Fully Digital SRAM Compute-in-Memory Macro for Hybrid SNN-CNN Edge Computing",1.0,"09_ISSCC 2026 30.8 — A 16nm, 1Mb, 1-to-8b-Configurable 444.21TOPS_W Fully-Digital SRAM Compute-In-Memory Macro for Hybrid SNN-CNN Edge Computing.pdf"
10,downloaded,"ISSCC 2026 30.9 — A 147TOPS/W, 250TOPS/mm², Fully Synthesizable, Digital Compute-in-Memory Accelerator Supporting INT8×INT8 with Zero-Point Quantization in Intel 18A CMOS",10.1109/isscc49663.2026.11409207,"30.9 A 147TOPS/W, 250TOPS/mm
                    <sup>2</sup>
                    , Fully Synthesizable, Digital Compute-in-Memory Accelerator Supporting INT8×INT8 with Zero-Point Quantization in Intel 18A Technology",0.921,"10_ISSCC 2026 30.9 — A 147TOPS_W, 250TOPS_mm², Fully Synthesizable, Digital Compute-in-Memory Accelerator Supporting INT8×INT8 with Zero-Point Quantizati.pdf"
11,downloaded,JSSC 2025 — A 28-nm 19.9-to-258.5-TOPS/W 8b Digital Computing-in-Memory Processor With Two-Cycle Macro,,A 28-nm 19.9-to-258.5-TOPS/W 8b Digital Computing-in-Memory Processor With Two-Cycle Macro Featuring Winograd-Domain Convolution and Macro-Level Parallel Dual-Side Sparsity,0.687,11_JSSC 2025 — A 28-nm 19.9-to-258.5-TOPS_W 8b Digital Computing-in-Memory Processor With Two-Cycle Macro.pdf
12,downloaded,JSSC 2025 — TensorCIM: Digital Computing-in-Memory Tensor Processor With Multichip-Module-Based Architecture for Beyond-NN Acceleration,10.1109/jssc.2024.3406569,TensorCIM: Digital Computing-in-Memory Tensor Processor With Multichip-Module-Based Architecture for Beyond-NN Acceleration,1.0,12_JSSC 2025 — TensorCIM_ Digital Computing-in-Memory Tensor Processor With Multichip-Module-Based Architecture for Beyond-NN Acceleration.pdf
13,downloaded,JSSC 2025 — A Multiply-Less Approximate SRAM Compute-In-Memory Macro for Neural-Network Inference,10.1109/jssc.2024.3433417,A Multiply-Less Approximate SRAM Compute-In-Memory Macro for Neural-Network Inference,1.0,13_JSSC 2025 — A Multiply-Less Approximate SRAM Compute-In-Memory Macro for Neural-Network Inference.pdf
14,downloaded,"JSSC 2025 — HUNBN, a 16-nm Digital In-Memory-Compute SoC for Edge CNN Application Achieving 24 TOPs/W (4b) at System Level",10.1109/jssc.2025.3557967,"HUNBN, a 16-nm Digital In-Memory-Compute SoC for Edge CNN Application Achieving 24 TOPs/W (4b) at System Level",1.0,"14_JSSC 2025 — HUNBN, a 16-nm Digital In-Memory-Compute SoC for Edge CNN Application Achieving 24 TOPs_W (4b) at System Level.pdf"
15,downloaded,JSSC 2025 — An Energy-Efficient POSIT Compute-in-Memory Macro for High-Accuracy AI Applications,10.1109/jssc.2025.3532654,An Energy-Efficient POSIT Compute-in-Memory Macro for High-Accuracy AI Applications,1.0,15_JSSC 2025 — An Energy-Efficient POSIT Compute-in-Memory Macro for High-Accuracy AI Applications.pdf
16,downloaded,JSSC 2025 — Digital In-Memory Compute for Machine Learning Inference and Training,10.1109/jssc.2025.3534753,Compute-in-Memory for AI: From Inference to Training,0.617,16_JSSC 2025 — Digital In-Memory Compute for Machine Learning Inference and Training.pdf
17,downloaded,JSSC 2025 — A Computing-in-Memory Engine Supporting One-Shot Floating-Point NN Inference and On-Device Fine-Tuning for Edge AI,10.1109/jssc.2024.3522304,A Computing-in-Memory Engine Supporting One-Shot Floating-Point NN Inference and On-Device Fine-Tuning for Edge AI,1.0,17_JSSC 2025 — A Computing-in-Memory Engine Supporting One-Shot Floating-Point NN Inference and On-Device Fine-Tuning for Edge AI.pdf
18,downloaded,JSSC 2025 — A 65-nm Digital Stochastic Compute-in-Memory CNN Processor With 8-bit Precision,10.1109/jssc.2025.3554554,A 65-nm Digital Stochastic Compute-in-Memory CNN Processor With 8-bit Precision,1.0,18_JSSC 2025 — A 65-nm Digital Stochastic Compute-in-Memory CNN Processor With 8-bit Precision.pdf
19,downloaded,JSSC 2026 — A 22-nm 109.3-to-249.5-TFLOPS/W Outlier-Aware Floating-Point SRAM Compute-in-Memory Macro for Large Language Models,10.1109/jssc.2025.3571315,A 22-nm 109.3-to-249.5-TFLOPS/W Outlier-Aware Floating-Point SRAM Compute-in-Memory Macro for Large Language Models,1.0,19_JSSC 2026 — A 22-nm 109.3-to-249.5-TFLOPS_W Outlier-Aware Floating-Point SRAM Compute-in-Memory Macro for Large Language Models.pdf
20,downloaded,JSSC 2026 — ETCIM: Error-Tolerant Digital CIM Processor,10.1109/jssc.2025.3566283,Radiation tolerant digital signal processor transformation,0.64,20_JSSC 2026 — ETCIM_ Error-Tolerant Digital CIM Processor.pdf
21,downloaded,JSSC 2026 — An Area-Efficient Lookup-Table-Based eDRAM Digital CIM,10.1109/jssc.2025.3595012,An Area-Efficient Lookup-Table -Based eDRAM Digital CIM Macro for Neural Network Inference,0.755,21_JSSC 2026 — An Area-Efficient Lookup-Table-Based eDRAM Digital CIM.pdf
22,downloaded,JSSC 2026 — 17 TFLOPS/mm² SRAM-Based INT8 and FP16 Digital Compute-in-Memory,10.1109/jssc.2025.3646072,"A 3nm 125 Tops/W-29 TFLOPS/W, 90 TOPS/mm<sup>2</sup>-17 TFLOPS/mm<sup>2</sup> SRAM-Based INT8 and FP16 Digital-CIM Compiler with Multi-Weight Update/Cycle",0.519,22_JSSC 2026 — 17 TFLOPS_mm² SRAM-Based INT8 and FP16 Digital Compute-in-Memory.pdf
23,downloaded,JSSC Early Access 2026 — Digital Transpose SRAM CIM,10.1109/jssc.2026.3679560,APX-DREAM-CIM: An Approximate Digital SRAM-Based CIM Accelerator for Edge AI,0.317,23_JSSC Early Access 2026 — Digital Transpose SRAM CIM.pdf
24,missing,JSSC Early Access 2026 — PROTEUS General-Purpose Digital CIM,,A General Purpose Digital Traffic Simulator,0.718,
